1;0;0
1;0.2;10
1;0.35;20
1;0.475;30
1;0.5;33
1;0.575;40
1;0.675;50
1;0.75;60
1;0.8;70
1;0.875;80
1;1;90
1;1.175;100
6;0;0
6;0.2;10
6;0.35;20
6;0.475;30
6;0.5;33
6;0.575;40
6;0.675;50
6;0.75;60
6;0.8;70
6;0.875;80
6;1;90
6;1.175;100
2;0;0
2;0.25;10
2;0.5;20
2;0.725;30
2;0.8375;40
2;1;50
2;10.675;60
2;11.575;70
2;1.325;80
2;1.5;90
2;1.9;100
7;0;0
7;0.25;10
7;0.5;20
7;0.725;30
7;0.8375;40
7;1;50
7;10.675;60
7;11.575;70
7;1.325;80
7;1.5;90
7;1.9;100
11;0;0
11;0.25;10
11;0.5;20
11;0.725;30
11;0.8375;40
11;1;50
11;1.0675;60
11;1.1575;70
11;1.325;80
11;1.5;90
11;1.9;100
15;0;0
15;0.25;10
15;0.5;20
15;0.725;30
15;0.8375;40
15;1;50
15;1.0675;60
15;1.1575;70
15;1.325;80
15;1.5;90
15;1.9;100
20;0;0
20;0.25;10
20;0.5;20
20;0.725;30
20;0.8375;40
20;1;50
20;1.0675;60
20;1.1575;70
20;1.325;80
20;1.5;90
20;1.9;100
3;0;0
3;0.4;10
3;0.5;13
3;0.75;20
3;1;29
3;1.05;30
3;1.23;40
3;1.38;50
3;1.5;60
3;1.63;70
3;1.8;80
3;2;90
3;2.5;100
8;0;0
8;0.4;10
8;0.5;13
8;0.75;20
8;1;29
8;1.05;30
8;1.23;40
8;1.38;50
8;1.5;60
8;1.63;70
8;1.8;80
8;2;90
8;2.5;100
12;0;0
12;0.4;10
12;0.5;13
12;0.75;20
12;1;29
12;1.05;30
12;1.23;40
12;1.38;50
12;1.5;60
12;1.63;70
12;1.8;80
12;2;90
12;2.5;100
16;0;0
16;0.4;10
16;0.5;13
16;0.75;20
16;1;29
16;1.05;30
16;1.23;40
16;1.38;50
16;1.5;60
16;1.63;70
16;1.8;80
16;2;90
16;2.5;100
21;0;0
21;0.4;10
21;0.5;13
21;0.75;20
21;1;29
21;1.05;30
21;1.23;40
21;1.38;50
21;1.5;60
21;1.63;70
21;1.8;80
21;2;90
21;2.5;100
25;0;0
25;0.4;10
25;0.5;13
25;0.75;20
25;1;29
25;1.05;30
25;1.23;40
25;1.38;50
25;1.5;60
25;1.63;70
25;1.8;80
25;2;90
25;2.5;100
4;0;0
4;0.5;8
4;0.6;10
4;1;16
4;1.13;20
4;1.5;30
4;1.7;40
4;1.9;50
4;2;52
4;2.18;60
4;2.38;70
4;2.5;80
4;2.75;90
4;3;95
4;3.25;100
9;0;0
9;0.5;8
9;0.6;10
9;1;16
9;1.13;20
9;1.5;30
9;1.7;40
9;1.9;50
9;2;52
9;2.18;60
9;2.38;70
9;2.5;80
9;2.75;90
9;3;95
9;3.25;100
13;0;0
13;0.5;8
13;0.6;10
13;1;16
13;1.13;20
13;1.5;30
13;1.7;40
13;1.9;50
13;2;52
13;2.18;60
13;2.38;70
13;2.5;80
13;2.75;90
13;3;95
13;3.25;100
17;0;0
17;0.5;8
17;0.6;10
17;1;16
17;1.13;20
17;1.5;30
17;1.7;40
17;1.9;50
17;2;52
17;2.18;60
17;2.38;70
17;2.5;80
17;2.75;90
17;3;95
17;3.25;100
22;0;0
22;0.5;8
22;0.6;10
22;1;16
22;1.13;20
22;1.5;30
22;1.7;40
22;1.9;50
22;2;52
22;2.18;60
22;2.38;70
22;2.5;80
22;2.75;90
22;3;95
22;3.25;100
26;0;0
26;0.5;8
26;0.6;10
26;1;16
26;1.13;20
26;1.5;30
26;1.7;40
26;1.9;50
26;2;52
26;2.18;60
26;2.38;70
26;2.5;80
26;2.75;90
26;3;95
26;3.25;100
5;0;0
5;0.5;5
5;0.83;10
5;1;13
5;1.5;20
5;1.83;30
5;2;34
5;2.18;40
5;2.4;50
5;2.5;53
5;2.68;60
5;3;70
5;3.25;80
5;3.5;86
5;3.68;90
5;4;98
5;4.13;100
10;0;0
10;0.5;5
10;0.83;10
10;1;13
10;1.5;20
10;1.83;30
10;2;34
10;2.18;40
10;2.4;50
10;2.5;53
10;2.68;60
10;3;70
10;3.25;80
10;3.5;86
10;3.68;90
10;4;98
10;4.13;100
14;0;0
14;0.5;5
14;0.83;10
14;1;13
14;1.5;20
14;1.83;30
14;2;34
14;2.18;40
14;2.4;50
14;2.5;53
14;2.68;60
14;3;70
14;3.25;80
14;3.5;86
14;3.68;90
14;4;98
14;4.13;100
18;0;0
18;0.5;5
18;0.83;10
18;1;13
18;1.5;20
18;1.83;30
18;2;34
18;2.18;40
18;2.4;50
18;2.5;53
18;2.68;60
18;3;70
18;3.25;80
18;3.5;86
18;3.68;90
18;4;98
18;4.13;100
23;0;0
23;0.5;5
